,id,display name,description,verified,potentially_banned,#followers,#posts,#friends,#favourites,location
EliotHiggins,288755234,Eliot Higgins,Founder and creative director of Bellingcat and director of Bellingcat Productions BV. Author of We Are Bellingcat.,True,False,253310.0,279299.0,3337.0,15446.0,In front of a laptop.
SarahAshtonLV,4413817101,Sarah Ashton-Cirillo,"🇺🇲 Journalist 
🏠 is #Kharkiv, 🇺🇦 -
💼 for #Zolochiv, 🇺🇦 -
✍️ @lgbtqnation, & sarahashtoncirillo.substack.com 
I'm 🏳️‍⚧️",False,False,35684.0,28791.0,2644.0,42252.0,Kharkiv
mr_gh0stly,711898557188579328,Mr Ghostly,Special Twitter Operation,False,False,6129.0,11546.0,593.0,81.0,
zeeginttas,3209735591,Žygintas Beručka,,False,False,177.0,6818.0,277.0,46164.0,
fascinatorfun,282914879,"Fionna O'Leary, 🕯🇪🇺","Retired lawyer. Cooking & good food, books, conversation, dancing, music. Forever European.",False,False,83228.0,340800.0,8329.0,91532.0,"South West, England"
OldridgeDominic,1507450272594989088,Dominic Oldridge,,False,False,6.0,905.0,75.0,1110.0,
ChrisMurphy201,508798903,🔶 Brexit will be devastating,"I cycle to get around, love elegance, fond of tech. Trust in facts/evidence & believe in the rule of law (& due process). All views someone else's.",False,False,1213.0,87759.0,1081.0,174942.0,Europe
leonidragozin,29010710,Leonid ХВ Ragozin,"Nationality: journalist. Freelancer, made in the BBC. Reporting what you need to know, not what you want to hear. Also, Lonely Planet guides.",False,False,70429.0,58364.0,4399.0,18605.0,
drury_solomon,1445997621861130240,Sol,,False,False,23.0,5535.0,85.0,11519.0,
1kenthomas,70898670,Ken Thomas 🇺🇦,"Full Focus @UKRAINE.  
(Rhetorician.  Mexicanist.  Polygot.  Drupalista w/AI on the side.
r/t != endorse.)  *BLOCK NONSENSE*
Deep Springs.  Cal.  Williams. Etc.",False,False,147.0,3993.0,570.0,15618.0,Mexico City
trostyan2020,1220360114491797506,Trostyan2020,"україно-порохобот до мозгу кісток, іноді несу йухню. ЗЕбіли йдуть вслід за російським кораблем, це ви поприколу наголосували в 2019 під гасло «зробимо іх разом»",False,False,781.0,19301.0,205.0,39150.0,Вінниця
james_levinson,3329348368,James Levinson,@FoxNews National Field Producer based in DC| @SMPAGWU Tips! james.levinson@fox.com// DM for Signal & Protonmail,True,False,1108.0,4496.0,2405.0,13707.0,
B3Lak0r,1078055987414736898,B3Lak0R,do while (!death)      {   printf (“What’s this life for?”);                                    },False,False,12.0,1436.0,101.0,452.0,Reino Unido
DrHIforpeace,1523901760225615872,Dr HI,Give peace a chance,False,False,331.0,7001.0,459.0,4678.0,
Lorelei_0502,1490083755041644547,Lorelei,"Please help Ukraine to fight the evil!

linktr.ee/ukraineaidops

@AlexBondODUA

all4ukraine.org/en/

@NorwegianAidUkr

mriyaaid.org",False,False,336.0,11615.0,162.0,19512.0,
_BECHA13,120052669,BECHA,"Private account. My tweets and my opinion, not my employer(s). Retweets and likes are not endorsements.",False,False,5522.0,54958.0,430.0,7291.0,
JCharitySpring,1499103359592280066,John Charity Spring,,False,False,13.0,688.0,87.0,12609.0,
HostileSpectrum,847386476224499712,JD Work,"Former intel, now academic @NDU_CIC, @TheKrulakCenter, @SIWPSColumbia @ColumbiaSIPA, @CyberStatecraft, @ElliottSchoolGW, @PAISWarwick. Apolitical, views=own",False,False,5906.0,10984.0,1271.0,21829.0,
PortakalManuel,3776621,Manuel Portakal🇺🇦🇺🇦🇺🇦,Someday you will miss today,False,False,1344.0,72294.0,1825.0,41456.0,
CJDaniels77,169894743,Christian,"This is my Twitter. There are many like it, but this one is mine.",False,False,353.0,36904.0,2181.0,141124.0,1 AU | United Kingdom
north_hwy29,1505164367985352710,Barry,"I play with big Diesels
 🇷🇺  🇵🇸  🇸🇾 🇨🇦 🇾🇪 🇨🇺 🇻🇪",False,False,84.0,9061.0,283.0,9372.0,Canada 🇨🇦 
Vokabre,506147667,Michael Vokabre,"Jewish raccoon with brushes, no longer by the east Moscow border, denied by Berlin
instagram.com/vokabre
due to war no patreon
hi #milkteaalliance",False,False,845.0,14857.0,180.0,11042.0,تل أبيب
Adrian52139163,1321126331082440705,Adrian,,False,False,17.0,2226.0,376.0,6751.0,
buileshuibhne,18728233,Eoghan Sweeney,💉💉💉😷OSINT/online verification trainer. @SligoRovers fanatic. @sheffielduni graduate. #OSINT #SOCMINT @OSINTessentials,True,False,4467.0,19161.0,1518.0,5470.0,Germany
iaeaorg,19386622,IAEA - International Atomic Energy Agency,"IAEA is the 🌍's centre for cooperation in the #nuclear field, promoting the safe, secure & peaceful use of nuclear technology. IAEA DG @RafaelMGrossi",True,False,218764.0,23186.0,3331.0,3894.0,"Vienna, Austria"
letters2navalny,1358550847924416512,Письма Навальному,"НЕЦЕНЗУРНАЯ РЕДАКЦИЯ — наши письма политзаключённому #1, которые вряд ли прошли бы цензуру, но однажды точно дойдут до адресата. letterstonavalny.com",False,False,1461.0,9599.0,1467.0,31708.0,"Привет, Навальный!"
SamTheGeek,14480403,Sam Gross,Somewhat Coy.,False,False,1299.0,72426.0,499.0,125118.0,New York · He/Him
MrDemocratist,162396075,Sue de Nimes,The defining characteristic of the Russian regime is lies. Lies are  fundamental to what they do: They believe they can control human perception.,False,False,439.0,7837.0,1907.0,19.0,London
MarioMambo,483248432,Mario 🤹‍♀️,Here only for the (Humour) & (Investment Opportunities) & (Random Acts of Kindness) memento mori - memento vivere.,False,False,387.0,9545.0,400.0,7130.0,Johannesburg & East London
mikenelson586,838622414,Mike Nelson,"Citizen. Legionnaire.

2 x @time person of the year (2003/2006)

2 x Iranian designated terrorist (2019/2020).

@MasonNatSec Visiting Fellow",False,False,20369.0,66197.0,2327.0,74559.0,On the Edge of the Empire
hwtnv,2236711,Hidenori Watanave,渡邉英徳 / Professor at The University of Tokyo / Information Design & Digital Archives /「記憶の解凍」/ Sub-account: @hwtnv2022,False,False,68102.0,129762.0,567.0,103427.0,"Bunkyo-ku, Tokyo"
ongezoute,177898705,nobody,critical reason or reasonably critical,False,False,85.0,14439.0,126.0,16931.0,Netherlands
Edgar_DOP,455720823,Edgar Dubrovskiy,"Cinematographer (The Tinder Swindler, DB Cooper, etc)
Mainly NFT here:)

✨ tinyurl.com/OBJKT-experime…
📷 tinyurl.com/OBJKT-photogra…",False,False,2688.0,9724.0,631.0,16689.0,London
fratotolo2,1392726045082767360,Francesca Totolo,"Scrittrice e collaboratrice de @IlPrimatoN. Agitatrice culturale, allergica al femminismo tossico. ➡️ altafortedizioni.it/francesca-toto…",False,False,19639.0,16654.0,229.0,17978.0,
AnncyGoransson,1086389237908426752,uppitywomanhasopinions,"Journalist, translator, Swedish, anglophile, news junkie, book- and film lover, a bit of a cynic, have no time for fools. Friendly, humorous, lazy, feminist.",False,False,94.0,4602.0,98.0,14924.0,Sweden
BaronAtreides,240648064,Joao⁴,"The Calm before the Tempest.
Slava Ukraini!",False,False,356.0,15459.0,881.0,22977.0,District 9
ajfuzz1,3519467297,///,,False,False,60.0,2325.0,1006.0,5378.0,
mr_ceebs,18707103,mr_ceebs,,False,False,1454.0,158686.0,2527.0,165930.0,"Kettering,uk"
SubtleKnife00,163979326,Subtle Knife,"Bad jokes, stupid RTs, boring remarks and on extremely rare occasions insightful comments. Mostly cricket. she/her. Used to tweet as @TuneInLiveEvent",False,False,1073.0,72010.0,2480.0,28277.0,below sea level
